host_ip,rssi_dbm,dist_m
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-60.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-59.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-58.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-56.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
172.20.10.4,-57.00,1.500
