host_ip,rssi_dbm,dist_m
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-63.00,2.000
172.20.10.4,-63.00,2.000
172.20.10.4,-63.00,2.000
172.20.10.4,-63.00,2.000
172.20.10.4,-63.00,2.000
172.20.10.4,-63.00,2.000
172.20.10.4,-63.00,2.000
172.20.10.4,-63.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-59.00,2.000
172.20.10.4,-59.00,2.000
172.20.10.4,-59.00,2.000
172.20.10.4,-59.00,2.000
172.20.10.4,-59.00,2.000
172.20.10.4,-59.00,2.000
172.20.10.4,-59.00,2.000
172.20.10.4,-59.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-59.00,2.000
172.20.10.4,-59.00,2.000
172.20.10.4,-59.00,2.000
172.20.10.4,-59.00,2.000
172.20.10.4,-59.00,2.000
172.20.10.4,-59.00,2.000
172.20.10.4,-59.00,2.000
172.20.10.4,-59.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-62.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-60.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
172.20.10.4,-61.00,2.000
