host_ip,rssi_dbm,dist_m
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-46.00,0.500
172.20.10.4,-46.00,0.500
172.20.10.4,-46.00,0.500
172.20.10.4,-46.00,0.500
172.20.10.4,-46.00,0.500
172.20.10.4,-46.00,0.500
172.20.10.4,-46.00,0.500
172.20.10.4,-46.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-46.00,0.500
172.20.10.4,-46.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-46.00,0.500
172.20.10.4,-46.00,0.500
172.20.10.4,-46.00,0.500
172.20.10.4,-46.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-44.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
172.20.10.4,-45.00,0.500
