host_ip,rssi_dbm,dist_m
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-37.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-38.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
172.20.10.2,-39.00,0.250
