host_ip,rssi_dbm,dist_m
172.20.10.2,-63.00,0.750
172.20.10.2,-64.00,0.750
172.20.10.2,-64.00,0.750
172.20.10.2,-64.00,0.750
172.20.10.2,-64.00,0.750
172.20.10.2,-64.00,0.750
172.20.10.2,-64.00,0.750
172.20.10.2,-64.00,0.750
172.20.10.2,-64.00,0.750
172.20.10.2,-64.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-63.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-60.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-62.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
172.20.10.2,-61.00,0.750
