host_ip,rssi_dbm,dist_m
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-69.00,8.000
172.20.10.4,-69.00,8.000
172.20.10.4,-69.00,8.000
172.20.10.4,-69.00,8.000
172.20.10.4,-69.00,8.000
172.20.10.4,-69.00,8.000
172.20.10.4,-69.00,8.000
172.20.10.4,-69.00,8.000
172.20.10.4,-69.00,8.000
172.20.10.4,-69.00,8.000
172.20.10.4,-68.00,8.000
172.20.10.4,-68.00,8.000
172.20.10.4,-68.00,8.000
172.20.10.4,-68.00,8.000
172.20.10.4,-68.00,8.000
172.20.10.4,-68.00,8.000
172.20.10.4,-68.00,8.000
172.20.10.4,-68.00,8.000
172.20.10.4,-68.00,8.000
172.20.10.4,-68.00,8.000
172.20.10.4,-68.00,8.000
172.20.10.4,-68.00,8.000
172.20.10.4,-68.00,8.000
172.20.10.4,-68.00,8.000
172.20.10.4,-68.00,8.000
172.20.10.4,-69.00,8.000
172.20.10.4,-69.00,8.000
172.20.10.4,-69.00,8.000
172.20.10.4,-69.00,8.000
172.20.10.4,-69.00,8.000
172.20.10.4,-69.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-72.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-70.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
172.20.10.4,-71.00,8.000
