host_ip,rssi_dbm,dist_m
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-67.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-69.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
172.20.10.2,-68.00,8.000
