host_ip,rssi_dbm,dist_m
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-66.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-65.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
172.20.10.2,-64.00,6.000
