host_ip,rssi_dbm,dist_m
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-73.00,4.500
172.20.10.2,-73.00,4.500
172.20.10.2,-73.00,4.500
172.20.10.2,-73.00,4.500
172.20.10.2,-73.00,4.500
172.20.10.2,-73.00,4.500
172.20.10.2,-73.00,4.500
172.20.10.2,-73.00,4.500
172.20.10.2,-73.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-74.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-75.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-76.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-77.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-78.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-80.00,4.500
172.20.10.2,-80.00,4.500
172.20.10.2,-80.00,4.500
172.20.10.2,-80.00,4.500
172.20.10.2,-80.00,4.500
172.20.10.2,-80.00,4.500
172.20.10.2,-80.00,4.500
172.20.10.2,-80.00,4.500
172.20.10.2,-81.00,4.500
172.20.10.2,-81.00,4.500
172.20.10.2,-81.00,4.500
172.20.10.2,-81.00,4.500
172.20.10.2,-81.00,4.500
172.20.10.2,-80.00,4.500
172.20.10.2,-80.00,4.500
172.20.10.2,-80.00,4.500
172.20.10.2,-80.00,4.500
172.20.10.2,-81.00,4.500
172.20.10.2,-81.00,4.500
172.20.10.2,-81.00,4.500
172.20.10.2,-81.00,4.500
172.20.10.2,-81.00,4.500
172.20.10.2,-81.00,4.500
172.20.10.2,-81.00,4.500
172.20.10.2,-81.00,4.500
172.20.10.2,-80.00,4.500
172.20.10.2,-80.00,4.500
172.20.10.2,-80.00,4.500
172.20.10.2,-80.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
172.20.10.2,-79.00,4.500
